Year,Month/2015,State,Utility Number,Utility Name,Data Status,Residential,Commercial,Industrial,Transportation,Total_Capacity_MW
2015,4,MD,59624,"Vivint Solar, Inc.",Preliminary,25.079,0,0,0,25.079
2015,4,MD,59647,Sunrun Inc.,Preliminary,0.880,0,0,0,0.880
2015,4,ME,57313,SolarCity Corporation,Preliminary,0.000,1.026,0.000,0.000,1.030
2015,4,MO,59579,Sunnova,Preliminary,0.015,0,0,0,0.015
2015,4,NJ,57313,SolarCity Corporation,Preliminary,20.907,0.792,0.000,0.000,21.700
2015,4,NJ,59139,SunEdison LLC,Preliminary,0,55.438,1.380,0,56.818
2015,4,NJ,59579,Sunnova,Preliminary,12.193,0,0,0,12.193
2015,4,NJ,59580,"SunPower Capital, LLC",Preliminary,7.179,0,0,0,7.179
2015,4,NJ,59624,"Vivint Solar, Inc.",Preliminary,22.076,0,0,0,22.076
2015,4,NJ,59647,Sunrun Inc.,Preliminary,17.255,0,0,0,17.255
2015,4,NM,57313,SolarCity Corporation,Preliminary,0.015,3.113,0.000,0.000,3.120
2015,4,NM,59579,Sunnova,Preliminary,0.562,0,0,0,0.562
2015,4,NV,57313,SolarCity Corporation,Preliminary,9.744,0.336,0.000,0.000,10.080
2015,4,NV,59139,SunEdison LLC,Preliminary,0,1.165,0,0,1.165
